"","sca","position","tackles_def_3rd","tackles_mid_3rd","touches_att_pen_area","dribbles_completed","passes_received","progressive_passes_received","shots_free_kicks"
"410",3,"FW",0,0,3,1,19,4,0
"411",5,"MF",0,0,1,2,53,3,0
"412",8,"FW",1,1,14,3,52,14,0
"413",1,"DF",0,0,0,1,60,1,0
"414",1,"MF",1,0,2,2,69,11,0
"415",9,"MF",4,6,11,2,190,11,0
"416",1,"MF",0,0,3,1,34,2,0
"417",6,"MF",1,3,8,1,110,14,0
"418",1,"GK",0,0,0,0,78,0,0
"419",5,"MF",0,1,3,1,60,6,0
"420",9,"DF",7,2,3,0,74,7,0
"421",0,"GK",0,0,0,0,69,0,0
"422",0,"DF",0,0,0,0,3,0,0
"423",1,"DF",0,0,1,0,35,1,0
"424",4,"DF",3,1,1,1,111,3,0
"425",0,"FW",0,1,1,0,24,2,0
"426",1,"MF",1,2,2,0,81,2,0
"427",0,"DF",4,0,0,1,13,5,0
"428",1,"FW",0,0,0,0,8,1,0
"429",3,"DF",0,4,1,1,184,0,0
"430",11,"FW",2,2,15,1,79,16,0
"431",5,"MF",1,0,2,1,30,1,0
"432",5,"FW",0,1,13,2,99,24,0
"433",1,"GK",0,0,0,0,29,0,0
"434",4,"FW",0,1,7,2,59,9,0
"435",1,"MF",0,0,0,0,9,3,0
"436",0,"MF",0,0,0,0,4,1,0
"437",2,"FW",0,1,6,1,34,10,0
"438",1,"DF",0,1,1,1,13,1,0
"439",3,"MF",2,2,2,0,62,9,0
"440",0,"DF",7,3,0,0,33,0,0
"441",1,"GK",0,0,0,0,42,0,0
"442",0,"DF",6,0,0,0,57,1,0
"443",1,"DF",4,0,0,0,91,0,0
"444",3,"FW",0,0,3,1,11,1,0
"445",5,"FW",0,0,11,1,61,5,0
"446",0,"MF",1,4,3,1,15,3,0
"447",6,"DF",3,2,3,1,33,3,0
"448",5,"MF",5,1,6,5,117,7,1
"449",1,"DF",1,0,2,0,38,2,0
"450",1,"GK",0,0,0,0,25,0,0
"451",1,"FW",1,1,3,0,22,0,0
"452",4,"DF",2,0,6,0,114,1,0
"453",1,"MF",0,0,0,1,12,0,0
"454",5,"MF",2,4,3,0,117,1,0
"455",0,"DF",1,1,1,0,96,0,0
"456",5,"DF",0,1,4,0,84,3,0
"457",2,"FW",2,1,5,2,26,9,0
"458",0,"GK",0,0,0,0,8,0,0
"459",0,"DF",1,0,0,0,3,1,0
"460",4,"FW",0,3,4,0,40,8,0
"461",0,"DF",2,0,0,0,22,0,0
"462",7,"DF",2,1,2,1,161,9,0
"463",6,"MF",3,1,1,1,122,2,0
"464",1,"FW",2,0,0,0,10,1,0
"465",1,"DF",2,2,0,0,235,0,0
"466",0,"DF",3,1,0,0,18,2,0
"467",3,"MF",0,0,4,1,41,6,1
"468",3,"DF",4,0,1,0,118,0,0
"469",5,"MF",0,2,4,5,39,4,0
"470",3,"DF",3,0,5,1,60,3,0
"471",0,"MF",1,0,0,0,42,1,0
"472",4,"MF",0,3,1,0,41,2,0
"473",1,"DF",0,0,1,0,21,1,0
"474",10,"MF",0,0,10,2,102,14,2
"475",4,"FW",0,0,13,1,27,13,0
"476",1,"DF",1,0,1,0,114,0,0
"477",3,"DF",2,2,0,0,101,2,0
"478",1,"FW",1,2,4,5,69,10,0
"479",0,"MF",4,0,0,0,18,2,0
"480",2,"FW",0,0,1,0,9,2,0
"481",2,"DF",2,0,3,0,79,1,0
"482",2,"MF",0,0,2,0,23,1,1
"483",3,"DF",5,2,3,0,318,2,0
"484",2,"DF",1,0,6,0,67,7,0
"485",4,"DF",4,1,2,0,204,1,0
"486",2,"DF",4,5,2,0,118,0,0
"487",3,"FW",0,0,6,0,29,6,0
"488",1,"FW",0,0,1,0,23,6,0
"489",1,"DF",8,0,2,1,66,1,0
"490",1,"DF",8,3,1,1,62,3,0
"491",5,"DF",0,0,0,1,27,0,0
"492",0,"DF",1,0,0,0,37,0,0
"493",4,"FW",0,0,11,0,39,7,0
"494",3,"MF",0,0,0,2,10,0,0
"495",1,"MF",2,1,4,0,31,1,0
"496",1,"MF",0,0,4,0,17,6,0
"497",3,"MF",1,2,1,0,66,4,0
"498",13,"FW",2,1,11,7,113,12,0
"499",2,"FW",0,0,1,0,3,0,0
"500",1,"MF",1,2,1,0,19,0,0
"501",1,"DF",0,0,2,1,32,0,0
"502",3,"MF",0,4,3,0,42,3,0
"503",2,"MF",1,2,0,0,36,1,1
"504",1,"MF",0,1,1,1,58,5,0
"505",1,"MF",1,2,1,1,40,0,0
"506",2,"DF",0,0,0,0,175,0,0
"507",14,"MF",2,2,2,6,395,9,0
"508",0,"FW",1,0,3,0,10,3,0
"509",3,"DF",4,0,3,1,153,0,0
"510",12,"DF",4,2,5,2,124,8,0
"511",6,"FW",0,0,7,2,83,18,0
"512",2,"DF",5,2,0,0,167,0,0
"513",2,"MF",2,2,0,1,180,4,0
"514",3,"MF",3,1,2,0,33,1,0
"515",12,"MF",3,3,3,1,113,4,0
"516",5,"MF",4,1,1,2,56,4,0
"517",3,"FW",0,0,6,3,36,8,0
"518",4,"FW",0,0,6,2,50,11,0
