"","sca","position","tackles_def_3rd","tackles_mid_3rd","touches_att_pen_area","dribbles_completed","passes_received","progressive_passes_received","shots_free_kicks"
"654",1,"MF",1,2,0,0,61,3,0
"655",15,"DF",4,1,4,4,167,8,0
"656",0,"FW",0,0,0,0,1,0,0
"657",1,"DF",4,1,0,1,6,0,0
"658",0,"FW",0,2,1,1,15,3,1
"659",10,"MF",4,4,4,4,157,13,1
"660",2,"MF",1,2,0,3,67,2,0
"661",0,"MF",0,1,1,0,8,0,0
"662",4,"FW",1,0,13,1,49,13,0
"663",0,"MF",0,1,0,0,7,1,0
"664",11,"MF",2,0,12,9,125,17,0
"665",5,"DF",3,3,3,0,81,1,0
"666",3,"DF",4,0,2,0,151,2,0
"667",1,"DF",4,0,1,0,70,0,0
"668",6,"MF",1,2,6,2,142,6,0
"669",NA,"",NA,NA,NA,NA,NA,NA,NA
"670",NA,"",NA,NA,NA,NA,NA,NA,NA
"671",NA,"",NA,NA,NA,NA,NA,NA,NA
"672",NA,"",NA,NA,NA,NA,NA,NA,NA
"673",NA,"",NA,NA,NA,NA,NA,NA,NA
"674",NA,"",NA,NA,NA,NA,NA,NA,NA
"675",NA,"",NA,NA,NA,NA,NA,NA,NA
"676",NA,"",NA,NA,NA,NA,NA,NA,NA
"677",NA,"",NA,NA,NA,NA,NA,NA,NA
"678",NA,"",NA,NA,NA,NA,NA,NA,NA
"679",NA,"",NA,NA,NA,NA,NA,NA,NA
"680",NA,"",NA,NA,NA,NA,NA,NA,NA
