"player","position","team","age","goals_assists_per90","cards_red","cards_yellow","sca","passes_completed","average_shot_distance"
"Bassam Al-Rawi","DF","Qatar",25,0,0,0,1,47,NA
"Ben Davies","DF","Wales",29,0,0,0,4,122,12.1
"Benjamin Pavard","DF","France",26,0,0,0,1,82,NA
"Bernardo Silva","MF","Portugal",28,0,0,0,13,256,10.7
"Bilal El Khannous","MF","Morocco",18,0,0,0,1,20,NA
"Borna Bariši?","DF","Croatia",30,0,0,1,2,50,24.8
"Borna Sosa","DF","Croatia",24,0,0,0,3,220,28.4
"Boualem Khoukhi","DF","Qatar",32,0,0,0,1,169,NA
"Boulaye Dia","FW","Senegal",26,0.28,0,1,5,39,14.2
"Brandon Aguilera","MF","Costa Rica",19,0,0,0,0,27,NA
"Breel Embolo","FW","Switzerland",25,0.56,0,0,6,46,10.5
"Brenden Aaronson","MF","United States",22,0,0,0,3,41,4.9
"Brennan Johnson","FW","Wales",21,0,0,0,1,10,14.6
"Bruno Fernandes","FW","Portugal",28,1.26,0,1,15,188,24.5
"Bruno Guimarães","MF","Brazil",25,0,0,1,1,43,12.4
"Bruno Petkovi?","FW","Croatia",28,0.38,0,1,7,40,16.2
"Bryan Mbeumo","FW","Cameroon",23,0,0,0,8,49,11.3
"Bryan Oviedo","DF","Costa Rica",32,0,0,0,0,67,NA
"Bryan Ruiz","MF","Costa Rica",37,0,0,0,0,8,NA
"Bukayo Saka","FW","England",21,0.94,0,0,9,84,14.9
"Callum Wilson","FW","England",30,1.87,0,0,4,9,NA
"Cameron Carter-Vickers","DF","United States",24,0,0,0,2,50,NA
"Carlos Gruezo","MF","Ecuador",27,0,0,0,0,15,NA
"Carlos Martínez","DF","Costa Rica",23,0,0,0,0,10,NA
"Carlos Soler","MF","Spain",25,0.98,0,0,4,78,17.3
"Casemiro","MF","Brazil",30,0.23,0,1,9,208,26
"Celso Borges","MF","Costa Rica",34,0,0,1,1,98,NA
"Charles De Ketelaere","FW","Belgium",21,0,0,0,0,3,NA
"Charly Rodríguez","MF","Mexico",25,0,0,0,0,21,NA
"Cheikhou Kouyaté","MF","Senegal",32,0,0,0,2,19,NA
"Cho Guesung","FW","Korea Republic",24,0.65,0,1,4,40,11.4
"Cho Yumin","FW","Korea Republic",26,0,0,0,0,0,NA
"Chris Mepham","DF","Wales",25,0,0,1,3,141,NA
"Christian Bassogog","MF","Cameroon",27,0,0,1,0,5,NA
"Christian Eriksen","MF","Denmark",30,0,0,0,10,188,27.2
"Christian Fassnacht","FW","Switzerland",29,0,0,0,0,7,14.8
"Christian Nørgaard","MF","Denmark",28,0,0,0,1,14,NA
"Christian Pulisic","FW","United States",24,0.86,0,0,14,83,17.9
"Christopher Wooh","DF","Cameroon",21,0,0,0,0,25,15.1
"Cody Gakpo","FW","Netherlands",23,0.6,0,0,17,93,19.9
"Collins Fai","DF","Cameroon",30,0,0,2,4,99,27.9
"Connor Roberts","DF","Wales",27,0,0,0,6,92,NA
"Craig Goodwin","MF","Australia",31,0.77,0,0,5,58,16.1
"Cristian Romero","DF","Argentina",24,0,0,2,3,337,NA
"Cristiano Ronaldo","FW","Portugal",37,0.31,0,0,10,68,21
"Cyle Larin","FW","Canada",27,0,0,0,5,21,11.3
"César Azpilicueta","DF","Spain",33,0.67,0,0,4,171,NA
"César Montes","DF","Mexico",25,0.33,0,0,3,159,13
"Daichi Kamada","FW","Japan",26,0,0,0,7,83,17.5
"Daizen Maeda","FW","Japan",25,0.5,0,0,1,8,9.5
"Daley Blind","DF","Netherlands",32,0.43,0,0,4,252,12.3
"Damian Szyma?ski","MF","Poland",27,0,0,0,0,8,NA
"Dani Alves","DF","Brazil",39,0,0,0,4,83,21.9
"Dani Carvajal","DF","Spain",30,0,0,0,1,121,NA
"Dani Olmo","FW","Spain",24,0.49,0,0,12,162,21.4
"Daniel Amartey","DF","Ghana",27,0,0,2,3,128,5.7
"Daniel Chacón","MF","Costa Rica",21,0,0,0,0,1,NA
"Daniel James","FW","Wales",25,0,0,1,2,24,NA
"Daniel Kyereh","MF","Ghana",26,0,0,0,1,18,NA
"Danilo","DF","Brazil",31,0,0,1,8,230,27.7
"Danilo Pereira","DF","Portugal",31,0,0,1,1,68,NA
"Danny Ward","GK","Wales",29,0,0,0,0,24,NA
"Darko Lazovi?","DF","Serbia",32,0,0,0,0,7,27.3
"Darwin Núñez","FW","Uruguay",23,0,0,1,8,35,22.4
"David Raum","DF","Germany",24,0.37,0,0,14,153,NA
"David Wotherspoon","MF","Canada",32,0,0,0,0,4,NA
"Davy Klaassen","MF","Netherlands",29,1.42,0,0,7,59,9.9
"Dayot Upamecano","DF","France",24,0,0,0,13,314,9.7
"DeAndre Yedlin","DF","United States",29,0,0,0,2,19,NA
"Declan Rice","MF","England",23,0,0,0,6,300,NA
"Dejan Lovren","DF","Croatia",33,0.15,0,1,2,405,14.8
"Denis Odoi","DF","Ghana",34,0,0,0,0,2,NA
"Denis Zakaria","MF","Switzerland",26,0,0,0,1,20,25.4
"Denzel Dumfries","DF","Netherlands",26,0.56,1,2,5,149,8.7
"Devis Epassy","GK","Cameroon",29,0,0,0,0,57,NA
"Diego Godín","DF","Uruguay",36,0,0,0,0,87,10.6
"Diogo Costa","GK","Portugal",23,0,0,0,1,113,NA
"Diogo Dalot","DF","Portugal",23,0.7,0,0,9,112,29.8
"Djibril Sow","MF","Switzerland",25,0.34,0,0,5,84,15.6
"Djorkaeff Reasco","FW","Ecuador",23,0,0,0,0,2,NA
"Dominik Livakovi?","GK","Croatia",27,0,0,1,0,194,NA
"Dries Mertens","MF","Belgium",35,0,0,0,5,22,14.7
"Dušan Tadi?","MF","Serbia",34,0.7,0,0,14,90,13.3
"Dušan Vlahovi?","FW","Serbia",22,1.14,0,0,0,6,10.9
"Dylan Bronn","DF","Tunisia",27,0,0,0,2,75,17.8
"Eden Hazard","MF","Belgium",31,0,0,0,5,46,18.7
"Ederson","GK","Brazil",29,0,0,0,1,28,NA
"Edimilson Fernandes","FW","Switzerland",26,0,0,0,3,65,24.2
"Edinson Cavani","FW","Uruguay",35,0,0,1,5,27,13.8
"Edouard Mendy","GK","Senegal",30,0,0,0,1,88,NA
"Edson ?lvarez","MF","Mexico",25,0,0,1,4,86,33.1
"Eduardo Camavinga","DF","France",20,0,0,0,2,88,NA
"Ehsan Hajsafi","MF","IR Iran",32,0,0,0,3,61,14.4
"Ellyes Skhiri","MF","Tunisia",27,0,0,0,5,109,22.5
"Emiliano Martínez","GK","Argentina",30,0,0,1,0,120,NA
"Enner Valencia","FW","Ecuador",33,1.06,0,0,7,40,18.9
"Enzo Ebosse","DF","Cameroon",23,0,0,0,0,34,NA
"Enzo Fernández","MF","Argentina",21,0.32,0,1,17,412,24.9
"Eray Cömert","DF","Switzerland",24,0,0,1,1,38,NA
"Eric Dier","DF","England",28,0,0,0,0,40,NA
"Eric Maxim Choupo-Moting","FW","Cameroon",33,0.36,0,0,5,44,9.1
"Erick Gutiérrez","MF","Mexico",27,0,0,1,1,24,NA
"Ethan Ampadu","MF","Wales",22,0,0,0,4,108,32.4
"Everton Ribeiro","MF","Brazil",33,0,0,0,2,15,NA
"Exequiel Palacios","MF","Argentina",24,0,0,0,3,25,16.3
"Fabian Frei","MF","Switzerland",33,0,0,0,0,9,NA
"Fabian Rieder","FW","Switzerland",20,0,0,1,1,13,NA
"Fabian Schär","DF","Switzerland",30,0,0,2,6,65,16.7
"Fabinho","MF","Brazil",20,0,0,0,4,51,NA
"Facundo Pellistri","MF","Uruguay",20,0,0,0,3,32,11.5
"Famara Diedhiou","FW","Senegal",30,0.98,0,0,3,10,9.1
"Federico Valverde","MF","Uruguay",24,0,0,0,14,159,33
"Ferjani Sassi","MF","Tunisia",30,0,0,1,3,25,33.3
"Ferrán Torres","FW","Spain",22,0.83,0,0,2,59,17.1
"Filip Kosti?","DF","Serbia",30,0,0,0,5,72,18.3
"Filip Mladenovi?","DF","Serbia",31,0,0,0,0,20,10.7
"Filip ?uri?i?","MF","Serbia",30,0,0,0,2,5,NA
"Firas Al-Buraikan","MF","Saudi Arabia",22,0.34,0,0,2,42,15.4
"Fodé Ballo-Touré","DF","Senegal",25,0,0,0,0,5,NA
"Fran Kara?i?","DF","Australia",26,0,0,0,2,33,26.1
"Francisco Calvo","DF","Costa Rica",30,0,0,2,1,86,28.8
"Fred","MF","Brazil",29,0,0,1,5,71,18.3
"Frenkie de Jong","MF","Netherlands",25,0.38,0,1,9,323,14.2
"Félix Torres Caicedo","DF","Ecuador",25,0.33,0,0,2,168,8.5
"Gabriel Jesus","FW","Brazil",25,0,0,0,6,22,8.8
"Garang Kuol","FW","Australia",18,0,0,0,0,3,9.6
"Gareth Bale","FW","Wales",33,0.4,0,1,4,33,46.6
"Gavi","MF","Spain",18,0.32,0,0,5,133,17.6
"Gaël Ondoua","MF","Cameroon",27,0,0,0,0,17,NA
"Georges-Kévin N'Koudou","FW","Cameroon",27,0,0,0,1,9,26.6
"Germán Pezzella","DF","Argentina",31,0,0,1,0,42,10
"Gerson Torres","MF","Costa Rica",25,0,0,0,2,16,30.8
"Ghaylène Chaalali","MF","Tunisia",28,0,0,0,0,3,NA
"Gideon Mensah","DF","Ghana",24,1.03,0,0,3,36,NA
"Gio Reyna","FW","United States",20,0,0,0,2,26,20.9
"Giorgian De Arrascaeta","MF","Uruguay",28,1.67,0,0,4,32,9.6
"Gleison Bremer","DF","Brazil",25,0,0,0,1,78,5.5
