player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,games,minutes,minutes_per_game,minutes_pct,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,games,games_starts,minutes,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Abdulellah Al-Malki,MF,Saudi Arabia,28,1994,1.9,3,1,3,0,0,1,3,33.3,2,3,0,3,2,5,4,1,2,1.03,2,0,0,0,0,0,1,0.52,1,0,0,0,0,0,2,0,0,8,4,0,1,2,1,0,0,0,9,0,1,0,66,84,78.6,1057,288,30,32,93.8,31,42,73.8,4,7,57.1,0,0,0,0,0,3,0,0,3,84,78,6,6,0,0,1,0,0,0,0,0,66,0,1,2,174,87,64.4,2,87,1,0,NA,0,1.5,2,3,-1,-0.52,0.42,1.8,3.5,-1.7,-0.9,0.31,105,6,28,63,17,1,105,0,0,NA,3,0,58,2,0,2,0,0,1.03,0,0,NA,21.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2,2,174,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06
Abdullah Madu,DF,Saudi Arabia,29,1993,0.5,1,0,1,0,0,0,0,NA,0,3,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50,5,13,38.5,89,64,2,3,66.7,2,6,33.3,1,2,50,0,0,0,0,0,0,0,0,1,13,12,1,1,0,0,0,0,0,0,0,0,5,0,1,1,45,45,16.7,0,NA,0,1,45,2,0,1,2,-1,-2,-1.6,0.9,1.3,-0.4,-0.79,0.27,19,4,12,8,0,0,19,0,0,NA,0,0,6,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,1,0,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27,1995,0.4,3,3,2,1,0,1,5,20,4,0,0,0,0,3,0,0,1,2.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,1,1,50,8,13,61.5,79,19,5,5,100,2,5,40,0,0,NA,0,0,0,0,1,0,1,0,1,13,13,0,0,0,0,2,0,0,0,0,0,8,0,2,2,35,18,13,0,NA,0,2,18,1,0,1,0,1,2.57,3.72,0.8,0.9,-0.1,-0.18,0.95,22,0,3,5,14,2,22,0,3,0,2,0,12,4,0,1,0,0,2.57,0,0,NA,4.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.18,0.06,0.24,0.18,0.24
Abolfazl Jalali,DF,IR Iran,24,1998,0.2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,1,4.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,2,0,0,0,0,0,3,0,0,NA,20,29,69,311,51,9,9,100,11,14,78.6,0,4,0,0,0,0,0,0,1,0,0,3,29,21,8,1,0,0,2,7,0,0,0,0,20,0,1,1,19,19,7,0,NA,0,1,19,2,0,0,0,0,0,1.08,0.2,0.1,0.1,0.43,0.81,34,1,5,18,12,0,34,1,5,20,0,1,18,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,1,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achraf Hakimi,DF,Morocco,24,1998,4,17,11,10,6,1,11,16,68.8,5,5,1,4,6,23,8,0,9,2.45,7,0,1,0,1,0,1,0.27,1,0,0,0,0,0,0,0,0,2,8,0,7,6,11,0,0,0,21,4,4,50,164,203,80.8,2130,1049,113,126,89.7,31,41,75.6,10,16,62.5,1,0.3,0.4,0.7,3,9,4,3,6,203,155,47,4,1,0,7,43,0,0,0,0,164,1,4,4,361,90,92.6,4,90,2,0,NA,0,2,2,1,1,0.25,-5.96,1.8,3.8,-2,-0.53,-2.44,260,14,105,102,56,6,260,1,6,16.7,5,4,137,7,0,3,1,33.3,0.75,0.25,0,0,26.1,1,0,0,0.1,0.1,0.03,-0.1,-0.1,4,4,361,0,1,0,0,0,0,0,0,0.25,0.25,0,0.25,0.1,0.1,0.3,0.4,0.03,0.09,0.12,0.03,0.12
Adrien Rabiot,MF,France,27,1995,3.3,10,8,3,5,2,4,4,100,0,9,1,8,5,15,4,0,8,2.42,7,0,0,1,0,0,1,0.3,1,0,0,0,0,0,0,0,0,4,0,0,5,5,8,0,0,0,15,9,6,60,163,188,86.7,2739,605,87,96,90.6,58,65,89.2,16,18,88.9,1,0.9,0.4,0.1,3,22,0,0,10,188,186,2,0,0,1,5,2,0,0,0,0,163,0,2,4,298,75,82.8,3,90,3,1,28,0,2.25,9,3,6,1.81,3.26,8.4,2.9,5.5,1.66,2.1,233,10,39,131,64,15,233,1,4,25,4,4,174,14,1,7,2,28.6,2.11,0.6,0.14,0.5,11.3,0,0,0,0.9,0.9,0.13,0.1,0.1,4,3,298,1,1,1,0,0,0,0,0.3,0.3,0.6,0.3,0.6,0.9,0.9,0.9,1.8,0.28,0.26,0.54,0.28,0.54
Agust??n Canobbio,MF,Uruguay,24,1998,0.1,1,1,1,0,0,0,0,NA,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,5,7,71.4,66,38,3,4,75,0,1,0,1,1,100,0,0,0,0,0,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,1,11,11,4.1,0,NA,0,1,11,2,3,0,0,0,0,0,0.2,0.6,-0.4,-3.14,-3.32,11,1,5,1,5,0,11,0,0,NA,0,0,6,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmad Nourollahi,MF,IR Iran,29,1993,2.5,4,3,1,1,2,1,2,50,1,3,0,3,6,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,6,3,0,0,0,15,1,0,100,35,54,64.8,519,150,16,21,76.2,13,21,61.9,2,6,33.3,0,0,0,0,0,3,0,0,3,54,52,1,0,0,0,3,0,0,0,0,0,35,1,0,3,223,74,82.6,3,74,0,0,NA,0,1,1,6,-5,-2.02,-5.85,1.6,3.1,-1.5,-0.6,-1.61,85,10,28,37,22,0,85,1,2,50,3,0,39,1,0,5,1,20,2.02,0.4,0,0,29.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,3,3,223,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04
Ahmed Alaaeldin,FW,Qatar,29,1993,0.1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,NA,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,2.2,0,NA,0,1,6,2,0,0,0,0,0,2.05,0,0,0,-0.07,0.65,2,0,0,2,0,0,2,0,0,NA,0,0,1,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,25,1997,3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,NA,48,77,62.3,1544,1175,9,9,100,18,18,100,21,50,42,0,0,0,0,0,0,0,0,0,77,54,23,5,0,2,0,0,0,0,0,0,48,0,0,3,270,90,100,3,90,3,0,NA,0,1.33,1,1,0,0,NA,2.3,2.8,-0.5,-0.17,NA,82,73,82,0,0,0,82,0,0,NA,0,0,34,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
